IDHM - Índice de Desenvolvimento Humano Municipal
Sigla,Código,Município,2000,2010,
MT,5108352,Vale de São Domingos,0.474,0.656,
MT,5108402,Várzea Grande,0.62,0.734,
MT,5108501,Vera,0.563,0.68,
MT,5108600,Vila Rica,0.485,0.688,
MT,5108808,Nova Guarita,0.516,0.688,
MT,5108857,Nova Marilândia,0.557,0.704,
MT,5108907,Nova Maringá,0.475,0.663,
MT,5108956,Nova Monte verde,0.495,0.691,
PA,1500107,Abaetetuba,0.501,0.628,
PA,1500131,Abel Figueiredo,0.508,0.622,
PA,1500206,Acará,0.35,0.506,
PA,1500305,Afuá,0.33,0.489,
PA,1500347,Água Azul do Norte,0.376,0.564,
PA,1500404,Alenquer,0.433,0.564,
PA,1500503,Almeirim,0.526,0.642,
PA,1500602,Altamira,0.534,0.665,
PA,1500701,Anajás,0.307,0.484,
PA,1500800,Ananindeua,0.606,0.718,
PA,1500859,Anapu,0.392,0.548,
PA,1500909,Augusto Corrêa,0.335,0.52,
PA,1500958,Aurora do Pará,0.358,0.519,
PA,1501006,Aveiro,0.368,0.541,
PA,1501105,Bagre,0.33,0.471,
PA,1501204,Baião,0.459,0.578,
PA,1501253,Bannach,0.424,0.594,
PA,1501303,Barcarena,0.554,0.662,
PA,1501402,Belém,0.644,0.746,
PA,1501451,Belterra,0.396,0.588,
PA,1501501,Benevides,0.529,0.665,
PA,1501576,Bom Jesus do Tocantins,0.429,0.589,
PA,1501600,Bonito,0.381,0.546,
PA,1501709,Bragança,0.458,0.6,
PA,1501725,Brasil Novo,0.433,0.613,
PA,1501758,Brejo Grande do Araguaia,0.496,0.591,
PA,1501782,Breu Branco,0.422,0.568,
PA,1501808,Breves,0.372,0.503,
PA,1501907,Bujaru,0.395,0.552,
PA,1501956,Cachoeira do Piriá,0.301,0.473,
PA,1502004,Cachoeira do Arari,0.427,0.546,
PA,1502103,Cametá,0.432,0.577,
PA,1502152,Canaã dos Carajás,0.456,0.673,
PA,1502202,Capanema,0.533,0.655,
PA,1502301,Capitão Poço,0.379,0.548,
PA,1502400,Castanhal,0.55,0.673,
PA,1502509,Chaves,0.289,0.453,
PA,1502608,Colares,0.524,0.602,
PA,1502707,Conceição do Araguaia,0.512,0.64,
PA,1502756,Concórdia do Pará,0.402,0.566,
PA,1502764,Cumaru do Norte,0.405,0.55,
PA,1502772,Curionópolis,0.449,0.636,
PA,1502806,Curralinho,0.323,0.502,
PA,1502855,Curuá,0.383,0.578,
PA,1502905,Curuçá,0.474,0.582,
PA,1502939,Dom Eliseu,0.452,0.615,
PA,1502954,Eldorado dos Carajás,0.389,0.56,
PA,1503002,Faro,0.431,0.563,
PA,1503044,Floresta do Araguaia,0.411,0.583,
PA,1503077,Garrafão do Norte,0.331,0.526,
PA,1503093,Goianésia do Pará,0.422,0.56,
PA,1503101,Gurupá,0.349,0.509,
PA,1503200,Igarapé-Açu,0.459,0.595,
PA,1503309,Igarapé-Miri,0.416,0.547,
PA,1503408,Inhangapi,0.438,0.572,
PA,1503457,Ipixuna do Pará,0.317,0.489,
PA,1503507,Irituia,0.419,0.559,
PA,1503606,Itaituba,0.489,0.64,
PA,1503705,Itupiranga,0.354,0.528,
PA,1503754,Jacareacanga,0.371,0.505,
PA,1503804,Jacundá,0.477,0.622,
PA,1503903,Juruti,0.389,0.592,
PA,1504000,Limoeiro do Ajuru,0.373,0.541,
PA,1504059,Mãe do Rio,0.466,0.599,
PA,1504109,Magalhães Barata,0.429,0.597,
PA,1504208,Marabá,0.536,0.668,
PA,1504307,Maracanã,0.406,0.57,
PA,1504406,Marapanim,0.448,0.609,
PA,1504422,Marituba,0.505,0.676,
PA,1504455,Medicilândia,0.47,0.582,
PA,1504505,Melgaço,0.26,0.418,
PA,1504604,Mocajuba,0.443,0.575,
PA,1504703,Moju,0.399,0.547,
PA,1504752,Mojuí dos Campos,,,
PA,1504802,Monte Alegre,0.467,0.589,
PA,1504901,Muaná,0.35,0.547,
PA,1504950,Nova Esperança do Piriá,0.315,0.502,
PA,1504976,Nova Ipixuna,0.432,0.581,
PA,1505007,Nova Timboteua,0.469,0.609,
PA,1505031,Novo Progresso,0.466,0.673,
PA,1505064,Novo Repartimento,0.372,0.537,
PA,1505106,Óbidos,0.452,0.594,
PA,1505205,Oeiras do Pará,0.36,0.507,
PA,1505304,Oriximiná,0.517,0.623,
PA,1505403,Ourém,0.436,0.568,
PA,1505437,Ourilândia do Norte,0.438,0.624,
PA,1505486,Pacajá,0.34,0.515,
PA,1505494,Palestina do Pará,0.455,0.589,
PA,1505502,Paragominas,0.471,0.645,
PA,1505536,Parauapebas,0.553,0.715,
PA,1505551,Pau D'Arco,0.401,0.574,
PA,1505601,Peixe-Boi,0.446,0.581,
PA,1505635,Piçarra,0.37,0.563,
PA,1505650,Placas,0.39,0.552,
PA,1505700,Ponta de Pedras,0.444,0.562,
PA,1505809,Portel,0.359,0.483,
PA,1505908,Porto de Moz,0.36,0.503,
PA,1506005,Prainha,0.361,0.523,
PA,1506104,Primavera,0.43,0.577,
PA,1506112,Quatipuru,0.406,0.543,
PA,1506138,Redenção,0.53,0.672,
PA,1506161,Rio Maria,0.499,0.638,
PA,1506187,Rondon do Pará,0.461,0.602,
PA,1506195,Rurópolis,0.421,0.548,
PA,1506203,Salinópolis,0.517,0.647,
PA,1506302,Salvaterra,0.478,0.608,
PA,1506351,Santa Bárbara do Pará,0.505,0.627,
PA,1506401,Santa Cruz do Arari,0.393,0.557,
PA,1506500,Santa Isabel do Pará,0.535,0.659,
